date,spx,dax
11/01/2002,1145.599976,5209.970215
14/01/2002,1138.410034,5065.839844
15/01/2002,1146.189941,5062.040039
16/01/2002,1127.569946,4984.200195
17/01/2002,1138.880005,5133.399902
18/01/2002,1127.579956,5122.22998
22/01/2002,1119.310059,5045.720215
23/01/2002,1128.180054,5163.029785
24/01/2002,1132.150024,5170.439941
25/01/2002,1133.280029,5156.629883
28/01/2002,1133.060059,5159.02002
29/01/2002,1100.640015,5084.52002
30/01/2002,1113.569946,5052.200195
31/01/2002,1130.199951,5107.609863
01/02/2002,1122.199951,5097.060059
04/02/2002,1094.439941,4984.47998
05/02/2002,1090.02002,4936.75
06/02/2002,1083.51001,4804.410156
07/02/2002,1080.170044,4862.620117
08/02/2002,1096.219971,4835.950195
11/02/2002,1111.939941,4940
12/02/2002,1107.5,4884.779785
13/02/2002,1118.51001,4935.350098
14/02/2002,1116.47998,4973.77002
15/02/2002,1104.180054,4862.600098
19/02/2002,1083.339966,4764.049805
20/02/2002,1097.97998,4780.240234
21/02/2002,1080.949951,4850.72998
22/02/2002,1089.839966,4745.580078
25/02/2002,1109.430054,4863.540039
26/02/2002,1109.380005,4897.75
27/02/2002,1109.890015,4960.220215
28/02/2002,1106.72998,5039.080078
01/03/2002,1131.780029,5097.410156
04/03/2002,1153.839966,5245.839844
05/03/2002,1146.140015,5228.669922
06/03/2002,1162.77002,5285.259766
07/03/2002,1157.540039,5289.430176
08/03/2002,1164.310059,5359.549805
11/03/2002,1168.26001,5340.669922
12/03/2002,1165.579956,5275.810059
13/03/2002,1154.089966,5245.990234
14/03/2002,1153.040039,5276.870117
15/03/2002,1166.160034,5401.109863
18/03/2002,1165.550049,5426.040039
19/03/2002,1170.290039,5462.549805
20/03/2002,1151.849976,5364.700195
21/03/2002,1153.589966,5348.680176
22/03/2002,1148.699951,5366.129883
25/03/2002,1131.869995,5317.379883
26/03/2002,1138.48999,5390.589844
27/03/2002,1144.579956,5348
28/03/2002,1147.390015,5397.290039
01/04/2002,1146.540039,null
02/04/2002,1136.76001,5311.080078
03/04/2002,1125.400024,5281.839844
04/04/2002,1126.339966,5254.950195
05/04/2002,1122.72998,5260.529785
08/04/2002,1125.290039,5180.330078
09/04/2002,1117.800049,5170.25
10/04/2002,1130.469971,5265.359863
11/04/2002,1103.689941,5162.959961
12/04/2002,1111.01001,5189.649902
15/04/2002,1102.550049,5244.200195
16/04/2002,1128.369995,5343.879883
17/04/2002,1126.069946,5318.549805
18/04/2002,1124.469971,5262.879883
19/04/2002,1125.170044,5284.549805
22/04/2002,1107.829956,5205.47998
23/04/2002,1100.959961,5192.100098
24/04/2002,1093.140015,5160.140137
25/04/2002,1091.47998,5054.410156
26/04/2002,1076.319946,5000.379883
29/04/2002,1065.449951,5008.040039
30/04/2002,1076.920044,5041.200195
01/05/2002,1086.459961,null
02/05/2002,1084.560059,4964.560059
03/05/2002,1073.430054,4882.77002
06/05/2002,1052.670044,4880.669922
07/05/2002,1049.48999,4872.410156
08/05/2002,1088.849976,5028.589844
09/05/2002,1073.01001,4966.47998
10/05/2002,1054.98999,4871.700195
13/05/2002,1074.560059,4975.47998
14/05/2002,1097.280029,5049.080078
15/05/2002,1091.069946,5072.390137
16/05/2002,1098.22998,5047.450195
17/05/2002,1106.589966,5036.410156
20/05/2002,1091.880005,4998.990234
21/05/2002,1079.880005,4984.609863
22/05/2002,1086.02002,4919.5
23/05/2002,1097.079956,4879.5
24/05/2002,1083.819946,4899.129883
28/05/2002,1074.550049,4918.580078
29/05/2002,1067.660034,4881.799805
30/05/2002,1064.660034,4761.959961
31/05/2002,1067.140015,4818.299805
03/06/2002,1040.680054,4747.950195
04/06/2002,1040.689941,4625.790039
05/06/2002,1049.900024,4624.310059
06/06/2002,1029.150024,4657.52002
07/06/2002,1027.530029,4610.180176
10/06/2002,1030.73999,4589.259766
11/06/2002,1013.599976,4606.089844
12/06/2002,1020.26001,4510.189941
13/06/2002,1009.559998,4470.140137
14/06/2002,1007.27002,4303.850098
17/06/2002,1036.170044,4475.100098
18/06/2002,1037.140015,4433.850098
19/06/2002,1019.98999,4354.819824
20/06/2002,1006.289978,4245.680176
21/06/2002,989.140015,4232.399902
24/06/2002,992.719971,4127.209961
25/06/2002,976.140015,4202.970215
26/06/2002,973.530029,4099.049805
27/06/2002,990.640015,4259.430176
28/06/2002,989.820007,4382.560059
01/07/2002,968.650024,4366.810059
02/07/2002,948.090027,4195.950195
03/07/2002,953.98999,4138.149902
05/07/2002,989.030029,4483.029785
08/07/2002,976.97998,4442.330078
